date,lead,model,rmse,mae,iiee,aee,me,me_iiee_ratio
2022-06-26,1,LSTM,0.03519456088542938,0.015439450740814209,50625.0,10625.0,40000.0,0.7901234567901234
2022-06-27,1,LSTM,0.038023822009563446,0.01584683731198311,60000.0,21250.0,38750.0,0.6458333333333334
2022-06-28,1,LSTM,0.04010847210884094,0.016147781163454056,60000.0,3750.0,56250.0,0.9375
2022-06-29,1,LSTM,0.03283827006816864,0.014439460821449757,45625.0,6875.0,38750.0,0.8493150684931506
2022-06-30,1,LSTM,0.030289137735962868,0.012942150235176086,54375.0,8125.0,46250.0,0.8505747126436781
2022-07-01,1,LSTM,0.028347250074148178,0.01163240522146225,46250.0,1250.0,45000.0,0.972972972972973
2022-07-02,1,LSTM,0.025760522112250328,0.011389403603971004,31875.0,6875.0,25000.0,0.7843137254901961
2022-07-05,1,LSTM,0.031981561332941055,0.012528927065432072,39375.0,15625.0,23750.0,0.6031746031746031
2022-07-06,1,LSTM,0.038969486951828,0.015954172238707542,36875.0,1875.0,35000.0,0.9491525423728814
2022-07-07,1,LSTM,0.036699600517749786,0.015507636591792107,36875.0,3125.0,33750.0,0.9152542372881356
2022-07-08,1,LSTM,0.0306831207126379,0.013009917922317982,40625.0,3125.0,37500.0,0.9230769230769231
2022-07-11,1,LSTM,0.03841369226574898,0.013918448239564896,40625.0,6875.0,33750.0,0.8307692307692308
2022-07-12,1,LSTM,0.03807077184319496,0.01423579454421997,37500.0,17500.0,20000.0,0.5333333333333333
2022-07-13,1,LSTM,0.036227501928806305,0.01480388455092907,38125.0,9375.0,28750.0,0.7540983606557377
2022-07-15,1,LSTM,0.02845396287739277,0.012206969782710075,35000.0,0.0,35000.0,1.0
2022-07-25,1,LSTM,0.037967488169670105,0.01292659156024456,49375.0,20625.0,28750.0,0.5822784810126582
2022-07-26,1,LSTM,0.04191157966852188,0.015151705592870712,40625.0,6875.0,33750.0,0.8307692307692308
2022-07-27,1,LSTM,0.0512973926961422,0.018952026963233948,47500.0,13750.0,33750.0,0.7105263157894737
2022-07-29,1,LSTM,0.032977394759655,0.01236271858215332,36250.0,2500.0,33750.0,0.9310344827586207
2022-07-30,1,LSTM,0.030649852007627487,0.011036687530577183,38750.0,0.0,38750.0,1.0
2022-08-04,1,LSTM,0.032370202243328094,0.01117160078138113,41875.0,4375.0,37500.0,0.8955223880597015
2022-08-06,1,LSTM,0.03964889049530029,0.013586508110165596,60000.0,18750.0,41250.0,0.6875
2022-08-09,1,LSTM,0.02560277283191681,0.009182797744870186,32500.0,10000.0,22500.0,0.6923076923076923
2022-08-17,1,LSTM,0.03261797875165939,0.011871973052620888,31875.0,13125.0,18750.0,0.5882352941176471
2022-08-18,1,LSTM,0.04200998321175575,0.013926496729254723,36875.0,1875.0,35000.0,0.9491525423728814
2022-08-19,1,LSTM,0.04254241660237312,0.013702626340091228,42500.0,20000.0,22500.0,0.5294117647058824
2022-10-07,1,LSTM,0.040562815964221954,0.011466298252344131,32500.0,15000.0,17500.0,0.5384615384615384
2022-10-14,1,LSTM,0.04751572757959366,0.013487793505191803,40000.0,18750.0,21250.0,0.53125
2022-10-21,1,LSTM,0.037544623017311096,0.011062363162636757,35000.0,15000.0,20000.0,0.5714285714285714
2022-10-30,1,LSTM,0.04897919297218323,0.015990328043699265,68125.0,6875.0,61250.0,0.8990825688073395
2022-11-17,1,LSTM,0.06857246160507202,0.021913358941674232,48750.0,8750.0,40000.0,0.8205128205128205
2022-11-19,1,LSTM,0.06378026306629181,0.0212499238550663,47500.0,16250.0,31250.0,0.6578947368421053
2022-11-23,1,LSTM,0.049997732043266296,0.015708202496170998,42500.0,8750.0,33750.0,0.7941176470588235
2022-11-27,1,LSTM,0.04212762787938118,0.015057375654578209,33125.0,3125.0,30000.0,0.9056603773584906
2022-12-01,1,LSTM,0.0584927499294281,0.021249674260616302,47500.0,21250.0,26250.0,0.5526315789473685
2022-12-02,1,LSTM,0.05373217165470123,0.02093658782541752,53125.0,6875.0,46250.0,0.8705882352941177
2022-12-03,1,LSTM,0.058217648416757584,0.02123415283858776,56250.0,13750.0,42500.0,0.7555555555555555
2022-12-04,1,LSTM,0.06595789641141891,0.022094136103987694,61875.0,8125.0,53750.0,0.8686868686868687
2022-12-05,1,LSTM,0.06165151670575142,0.020593691617250443,78125.0,29375.0,48750.0,0.624
2022-12-11,1,LSTM,0.06010093167424202,0.020491454750299454,54375.0,3125.0,51250.0,0.9425287356321839
2022-12-12,1,LSTM,0.057978369295597076,0.021221661940217018,47500.0,5000.0,42500.0,0.8947368421052632
2022-12-13,1,LSTM,0.05759713426232338,0.020809102803468704,44375.0,19375.0,25000.0,0.5633802816901409
2022-12-14,1,LSTM,0.04832231625914574,0.01849324069917202,50625.0,8125.0,42500.0,0.8395061728395061
2022-12-15,1,LSTM,0.05808336287736893,0.021712230518460274,70625.0,29375.0,41250.0,0.584070796460177
2022-12-16,1,LSTM,0.07099959999322891,0.026540856808423996,75625.0,36875.0,38750.0,0.512396694214876
2022-12-17,1,LSTM,0.046797726303339005,0.018459385260939598,50000.0,6250.0,43750.0,0.875
2022-12-18,1,LSTM,0.04928865283727646,0.018589595332741737,45000.0,21250.0,23750.0,0.5277777777777778
2022-12-19,1,LSTM,0.05189972743391991,0.01947801001369953,45000.0,1250.0,43750.0,0.9722222222222222
2022-12-20,1,LSTM,0.05562126636505127,0.020691685378551483,50000.0,1250.0,48750.0,0.975
2022-12-23,1,LSTM,0.05358465760946274,0.02188177779316902,37500.0,16250.0,21250.0,0.5666666666666667
